record,family,model,algorithm,seed,max_error_ratio,status
example,trace,beta-binomial,simulate,1301,0.09458591435057474,PASS
example,trace,beta-binomial,LW,1301,0.07605683103303063,PASS
example,trace,beta-binomial,LWIS,1301,0.14858129795755348,PASS
example,trace,beta-binomial,MH,1301,0.13302951388888878,PASS
example,trace,beta-binomial,simulate,1303,0.14613095238095333,PASS
example,trace,beta-binomial,LW,1303,0.18486820505743501,PASS
example,trace,beta-binomial,LWIS,1303,0.1740893941592242,PASS
example,trace,beta-binomial,MH,1303,0.3095630787037032,PASS
example,trace,beta-binomial,simulate,1307,0.08100499353025976,PASS
example,trace,beta-binomial,LW,1307,0.05530181224702169,PASS
example,trace,beta-binomial,LWIS,1307,0.08651147990241803,PASS
example,trace,beta-binomial,MH,1307,0.21534972550245057,PASS
example,trace,gamma-poisson,simulate,1301,0.22811832539287558,PASS
example,trace,gamma-poisson,LW,1301,0.35579870754262671,PASS
example,trace,gamma-poisson,LWIS,1301,0.49155347434963748,PASS
example,trace,gamma-poisson,MH,1301,0.07583052099177461,PASS
example,trace,gamma-poisson,simulate,1303,0.45061090994024777,PASS
example,trace,gamma-poisson,LW,1303,0.32762449859357179,PASS
example,trace,gamma-poisson,LWIS,1303,0.44705349433742753,PASS
example,trace,gamma-poisson,MH,1303,0.2707007444269019,PASS
example,trace,gamma-poisson,simulate,1307,0.7881879298445913,PASS
example,trace,gamma-poisson,LW,1307,0.13008381610686515,PASS
example,trace,gamma-poisson,LWIS,1307,0.16328138670046549,PASS
example,trace,gamma-poisson,MH,1307,0.12303495583111884,PASS
example,trace,finite-mixture,simulate,1301,0.16666666666666655,PASS
example,trace,finite-mixture,LW,1301,0.06666853363556102,PASS
example,trace,finite-mixture,LWIS,1301,0.21679371880423443,PASS
example,trace,finite-mixture,MH,1301,0.07844437643386,PASS
example,trace,finite-mixture,simulate,1303,0.15714285714285567,PASS
example,trace,finite-mixture,LW,1303,0.13299401314995787,PASS
example,trace,finite-mixture,LWIS,1303,0.03367067258460101,PASS
example,trace,finite-mixture,MH,1303,0.21203181404233018,PASS
example,trace,finite-mixture,simulate,1307,0.40952380952380879,PASS
example,trace,finite-mixture,LW,1307,0.330462546059069,PASS
example,trace,finite-mixture,LWIS,1307,0.28948265848613786,PASS
example,trace,finite-mixture,MH,1307,0.02368247167195493,PASS
example,particle,classification,SMC,3011,0.28622171945701341,PASS
example,particle,classification,SMC,3023,0.23652966314731,PASS
example,particle,classification,SMC,3037,0.17401289996205938,PASS
example,particle,classification,RMSMC,3011,0.41401289996205887,PASS
example,particle,classification,RMSMC,3023,0.40264310852546137,PASS
example,particle,classification,RMSMC,3037,0.44922071392659663,PASS
example,particle,classification,PMMH,3011,0.24365224906201188,PASS
example,particle,classification,PMMH,3023,0.08531891572867897,PASS
example,particle,classification,PMMH,3037,0.19677601809954726,PASS
example,particle,classification,SMC2,3011,0.21309669350645599,PASS
example,particle,classification,SMC2,3023,0.54154265559349657,PASS
example,particle,classification,SMC2,3037,0.12023663982687764,PASS
example,particle,classification,checkpoint-SMC,3011,0.3756674208144794,PASS
example,particle,classification,checkpoint-SMC,3023,0.10198558239534528,PASS
example,particle,classification,checkpoint-SMC,3037,0.16401289996205901,PASS
example,particle,hidden-process,SMC,3011,0.45646558514045016,PASS
example,particle,hidden-process,SMC,3023,0.26958160140182597,PASS
example,particle,hidden-process,SMC,3037,0.31078251224953224,PASS
example,particle,hidden-process,RMSMC,3011,0.45316346463048462,PASS
example,particle,hidden-process,RMSMC,3023,0.46112224965522886,PASS
example,particle,hidden-process,RMSMC,3037,0.30277090625824732,PASS
example,particle,hidden-process,PMMH,3011,0.3554149347351595,PASS
example,particle,hidden-process,PMMH,3023,0.2591158455828661,PASS
example,particle,hidden-process,PMMH,3037,0.3195850652648406,PASS
example,particle,hidden-process,SMC2,3011,0.2319415712978401,PASS
example,particle,hidden-process,SMC2,3023,0.19291493473515925,PASS
example,particle,hidden-process,SMC2,3037,0.39646558514045011,PASS
example,particle,hidden-process,checkpoint-SMC,3011,0.43979891847378383,PASS
example,particle,hidden-process,checkpoint-SMC,3023,0.28958160140182598,PASS
example,particle,hidden-process,checkpoint-SMC,3037,0.43078251224953235,PASS
example,particle,sensor-calibration,SMC,3011,0.22374380584355258,PASS
example,particle,sensor-calibration,SMC,3023,0.17618631260382545,PASS
